chrom	start	gene	strand	LIC-dRNA-nonpolyA	LIC-dRNA-cDNA-polyA	LIC-dRNA-polyA	Q29-dRNA-nonpolyA-R1	Q29-dRNA-nonpolyA-R2	clusters
NC_005823.1	1677900	unaware	+	NA	NA	NA	NA	1678511;3	1786
NC_005823.1	1678834	unaware	+	NA	NA	NA	NA	1679128;2	1787
NC_005823.1	1680298	unaware	+	NA	NA	NA	1681235;2	NA	1788
NC_005823.1	1680356	LIC_RS07000	+	1681237;16	1681421;2	NA	1682653;66	1682718;14	1789
NC_005823.1	1680356	LIC_RS07005	+	NA	NA	1681672;1	NA	NA	1789
NC_005823.1	1680927	LIC_RS07005	+	NA	NA	1681749;1	NA	NA	1790
NC_005823.1	1683594	LIC_RS07015	+	NA	NA	NA	1684013;2	NA	1791
NC_005823.1	1683612	LIC_RS07015	+	NA	NA	NA	1684179;1	NA	1792
NC_005823.1	1684212	unaware	+	NA	NA	NA	NA	1684607;2	1793
NC_005823.1	1686005	LIC_RS07020	+	1686399;1	NA	NA	NA	NA	1794
NC_005823.1	1686194	LIC_RS07020	+	1686700;1	NA	NA	NA	NA	1795
NC_005823.1	1687091	LIC_RS07025	+	NA	1687899;5	NA	NA	NA	1796
NC_005823.1	1687092	LIC_RS07025	+	1687626;9	NA	NA	1687239;196	1687674;49	1796
NC_005823.1	1687687	unaware	+	1688549;4	NA	NA	NA	NA	1797
NC_005823.1	1688566	unaware	+	NA	NA	NA	NA	1688972;25	1798
NC_005823.1	1688567	unaware	+	NA	NA	NA	1688905;95	NA	1798
NC_005823.1	1689006	LIC_RS07035	+	NA	NA	NA	NA	1689457;4	1799
NC_005823.1	1689497	unaware	+	NA	NA	NA	NA	1689834;2	1800
NC_005823.1	1690463	unaware	+	NA	NA	NA	1691008;9	NA	1801
NC_005823.1	1690740	LIC_RS07050	+	NA	NA	NA	NA	1691021;17	1802
NC_005823.1	1690741	LIC_RS07050	+	NA	NA	NA	1691008;36	NA	1802
NC_005823.1	1692320	LIC_RS07055	+	1692826;1	NA	NA	NA	NA	1803
NC_005823.1	1692348	unaware	+	NA	NA	NA	NA	1692902;4	1804
NC_005823.1	1692369	LIC_RS07055	+	1692826;1	NA	NA	NA	NA	1805
NC_005823.1	1692601	LIC_RS07055	+	1692905;1	NA	NA	NA	NA	1806
NC_005823.1	1694409	unaware	+	NA	NA	NA	NA	1695300;5	1807
NC_005823.1	1694945	LIC_RS07060	+	1695300;7	NA	NA	1695301;57	1695453;15	1808
NC_005823.1	1696021	unaware	+	1696465;3	NA	NA	NA	NA	1809
NC_005823.1	1696025	LIC_RS07065	+	NA	1696609;1	NA	1696416;106	NA	1809
NC_005823.1	1696133	LIC_RS07065	+	NA	1697203;2	NA	NA	NA	1810
NC_005823.1	1696134	LIC_RS07065	+	1697007;4	NA	NA	1696465;106	1696466;31	1810
NC_005823.1	1696305	LIC_RS07070	+	1697752;1	NA	NA	NA	NA	1811
NC_005823.1	1696845	LIC_RS07070	+	1697921;2	NA	NA	NA	NA	1812
NC_005823.1	1697216	LIC_RS07075	+	NA	1697903;1	NA	NA	NA	1813
NC_005823.1	1697621	LIC_RS07075	+	NA	1698658;1	NA	NA	NA	1814
NC_005823.1	1697774	LIC_RS07075	+	1697918;24	1698658;1	NA	1698456;278	NA	1815
NC_005823.1	1697805	LIC_RS07075	+	NA	NA	NA	NA	1698456;52	1816
NC_005823.1	1698478	LIC_RS07080	+	NA	NA	NA	1698815;106	1699350;23	1817
NC_005823.1	1698625	LIC_RS07080	+	NA	1699520;1	NA	NA	NA	1818
NC_005823.1	1700406	LIC_RS07085	+	NA	NA	NA	1700833;14	NA	1819
NC_005823.1	1700465	LIC_RS07085	+	1700892;1	NA	NA	NA	NA	1820
NC_005823.1	1700528	LIC_RS07085	+	1700706;1	NA	NA	NA	NA	1821
NC_005823.1	1700624	LIC_RS07085	+	1700881;1	NA	NA	NA	NA	1822
NC_005823.1	1700645	LIC_RS07090	+	1701035;1	NA	NA	NA	NA	1823
NC_005823.1	1700937	LIC_RS07090	+	1701991;1	NA	NA	NA	NA	1824
NC_005823.1	1700987	LIC_RS07090	+	NA	NA	NA	NA	1701658;3	1825
NC_005823.1	1700994	LIC_RS07090	+	NA	NA	NA	1701674;7	NA	1825
NC_005823.1	1703802	unaware	+	NA	NA	NA	NA	1704064;2	1826
NC_005823.1	1705657	unaware	+	NA	NA	NA	NA	1705888;2	1827
NC_005823.1	1708706	unaware	+	NA	NA	NA	1709125;2	NA	1828
NC_005823.1	1708753	unaware	+	NA	NA	NA	NA	1708904;2	1829
NC_005823.1	1708941	unaware	+	NA	NA	NA	1709119;2	NA	1830
NC_005823.1	1709629	LIC_RS07130	+	1711130;6	NA	NA	1710029;53	1710383;21	1831
NC_005823.1	1711061	LIC_RS07135	+	1711554;5	NA	NA	NA	NA	1832
NC_005823.1	1711066	LIC_RS07135	+	NA	NA	NA	1711964;46	NA	1832
NC_005823.1	1712027	LIC_RS07140	+	NA	NA	NA	1712962;25	NA	1833
NC_005823.1	1712028	LIC_RS07140	+	1712961;3	NA	NA	NA	NA	1833
NC_005823.1	1712954	LIC_RS07145	+	NA	NA	NA	NA	1713834;3	1834
NC_005823.1	1712955	LIC_RS07145	+	1713686;3	NA	NA	1713686;18	NA	1834
NC_005823.1	1715203	unaware	+	NA	NA	NA	1715375;6	NA	1835
NC_005823.1	1716880	LIC_RS07160	+	NA	NA	NA	1717156;2	NA	1836
NC_005823.1	1717104	unaware	+	NA	NA	NA	1717916;20	1717924;8	1837
NC_005823.1	1721244	unaware	+	NA	NA	NA	NA	1721523;2	1838
NC_005823.1	1721297	unaware	+	NA	NA	NA	NA	1721523;3	1839
NC_005823.1	1726489	LIC_RS07195	+	NA	NA	NA	1726849;41	1726849;13	1840
NC_005823.1	1726491	LIC_RS07195	+	1726621;2	NA	NA	NA	NA	1840
NC_005823.1	1726863	unaware	+	NA	NA	NA	NA	1727339;19	1841
NC_005823.1	1726864	unaware	+	1727262;4	NA	NA	NA	NA	1841
NC_005823.1	1727813	unaware	+	NA	NA	NA	NA	1728375;3	1842
NC_005823.1	1727948	unaware	+	1728729;4	NA	NA	1728400;71	1728396;27	1843
NC_005823.1	1730565	unaware	+	NA	NA	NA	1731400;2	NA	1844
NC_005823.1	1730569	unaware	+	NA	NA	NA	NA	1731024;2	1844
NC_005823.1	1731213	unaware	+	NA	NA	NA	1731924;5	NA	1845
NC_005823.1	1731271	unaware	+	NA	NA	NA	NA	1731863;2	1846
NC_005823.1	1733532	unaware	+	NA	NA	NA	NA	1734227;4	1847
NC_005823.1	1733838	LIC_RS07215	+	NA	NA	NA	1734523;85	1734523;27	1848
NC_005823.1	1733840	LIC_RS07215	+	1734441;10	NA	NA	NA	NA	1848
NC_005823.1	1735650	unaware	+	1736094;6	NA	NA	NA	NA	1849
NC_005823.1	1741092	LIC_RS07245	+	NA	NA	NA	NA	1741572;2	1850
NC_005823.1	1741184	LIC_RS07245	+	NA	NA	NA	1741772;11	NA	1851
NC_005823.1	1741981	LIC_RS07255	+	NA	NA	NA	1742854;8	NA	1852
NC_005823.1	1741996	unaware	+	NA	NA	NA	NA	1742368;2	1853
NC_005823.1	1742051	unaware	+	NA	NA	NA	NA	1743234;9	1854
NC_005823.1	1743203	LIC_RS07260	+	1744760;6	NA	NA	NA	NA	1855
NC_005823.1	1743315	LIC_RS07260	+	NA	1743977;2	NA	NA	1743519;21	1856
NC_005823.1	1743317	LIC_RS07260	+	NA	NA	NA	1743792;191	NA	1856
NC_005823.1	1743430	LIC_RS07265	+	NA	1744208;1	NA	NA	NA	1857
NC_005823.1	1743872	LIC_RS07265	+	1744495;11	NA	NA	NA	1744495;28	1858
NC_005823.1	1747572	unaware	+	NA	NA	NA	NA	1747956;2	1859
NC_005823.1	1748642	unaware	+	NA	NA	NA	NA	1748978;2	1860
NC_005823.1	1749473	unaware	+	NA	NA	NA	1749659;2	NA	1861
NC_005823.1	1750259	LIC_RS07290	+	NA	NA	NA	1750903;21	NA	1862
NC_005823.1	1750457	LIC_RS07290	+	NA	NA	NA	NA	1751407;4	1863
NC_005823.1	1750459	LIC_RS07290	+	1750778;2	NA	NA	1751092;19	NA	1863
NC_005823.1	1750535	LIC_RS07295	+	1751403;10	1751399;2	NA	1751092;127	1750898;34	1864
NC_005823.1	1752343	LIC_RS07305	+	NA	NA	NA	NA	1752621;1	1865
NC_005823.1	1752383	LIC_RS07305	+	1752591;1	NA	NA	NA	NA	1866
NC_005823.1	1752572	LIC_RS07305	+	NA	NA	NA	NA	1754273;2	1867
NC_005823.1	1752576	LIC_RS07305	+	NA	NA	NA	1752758;3	NA	1867
NC_005823.1	1752577	LIC_RS07305	+	1752758;1	NA	NA	NA	NA	1867
NC_005823.1	1753593	LIC_RS07310	+	NA	NA	NA	1753838;1	NA	1868
NC_005823.1	1753607	LIC_RS07310	+	NA	NA	NA	1753838;1	NA	1869
NC_005823.1	1753677	LIC_RS07310	+	NA	NA	NA	1753900;1	NA	1870
NC_005823.1	1753852	LIC_RS07320	+	NA	NA	NA	1756683;1	NA	1871
NC_005823.1	1753905	unaware	+	NA	NA	NA	1754284;4	NA	1872
NC_005823.1	1754930	LIC_RS07320	+	NA	NA	NA	1755152;2	NA	1873
NC_005823.1	1755215	unaware	+	NA	NA	NA	1755657;2	NA	1874
NC_005823.1	1755284	LIC_RS07325	+	NA	NA	NA	1756488;3	NA	1875
NC_005823.1	1755478	LIC_RS07325	+	NA	NA	NA	1756498;3	NA	1876
NC_005823.1	1756531	unaware	+	NA	NA	NA	1757278;7	NA	1877
NC_005823.1	1758451	LIC_RS07335	+	NA	NA	NA	1759023;48	NA	1878
NC_005823.1	1758454	unaware	+	1758993;6	NA	NA	NA	1758993;17	1878
NC_005823.1	1758458	unaware	+	NA	1759069;4	NA	NA	NA	1878
NC_005823.1	1762126	LIC_RS07345	+	1762527;3	NA	NA	NA	NA	1879
NC_005823.1	1762128	LIC_RS07345	+	NA	NA	NA	NA	1762405;6	1879
NC_005823.1	1762129	LIC_RS07345	+	NA	NA	NA	1762570;27	NA	1879
NC_005823.1	1763786	unaware	+	1764551;5	NA	NA	NA	NA	1880
NC_005823.1	1768138	unaware	+	NA	NA	NA	1768445;3	NA	1881
NC_005823.1	1771658	unaware	+	NA	NA	NA	1772315;2	NA	1882
NC_005823.1	1772562	LIC_RS07370	+	1773491;10	1773764;3	NA	NA	NA	1883
NC_005823.1	1772567	LIC_RS07370	+	NA	NA	NA	1773491;99	1773491;27	1883
NC_005823.1	1774301	unaware	+	NA	NA	NA	1775365;2	NA	1884
NC_005823.1	1774414	unaware	+	NA	NA	NA	NA	1774681;2	1885
NC_005823.1	1774638	LIC_RS07375	+	NA	1775589;1	NA	NA	NA	1886
NC_005823.1	1774753	LIC_RS07375	+	1775550;8	NA	NA	NA	NA	1887
NC_005823.1	1774754	LIC_RS07375	+	NA	NA	1775508;2	1775190;82	1775190;24	1887
NC_005823.1	1774756	LIC_RS07375	+	NA	1774943;1	NA	NA	NA	1887
NC_005823.1	1775847	LIC_RS07380	+	NA	NA	NA	NA	1776338;2	1888
NC_005823.1	1775850	LIC_RS07380	+	NA	NA	NA	1776634;22	NA	1888
NC_005823.1	1776839	unaware	+	NA	NA	NA	NA	1777464;2	1889
NC_005823.1	1779560	unaware	+	NA	NA	NA	1780479;15	NA	1890
NC_005823.1	1779561	unaware	+	1780217;5	NA	NA	NA	1781110;6	1890
NC_005823.1	1780024	LIC_RS07400	+	NA	NA	NA	1780222;61	1780321;14	1891
NC_005823.1	1780025	LIC_RS07400	+	1780774;4	NA	NA	NA	NA	1891
NC_005823.1	1781963	unaware	+	NA	NA	NA	1782241;2	NA	1892
NC_005823.1	1782649	unaware	+	NA	NA	NA	NA	1782913;2	1893
NC_005823.1	1783265	LIC_RS07415	+	NA	NA	NA	1784259;16	NA	1894
NC_005823.1	1783266	LIC_RS07415	+	1783594;3	NA	NA	NA	NA	1894
NC_005823.1	1783267	LIC_RS07415	+	NA	NA	NA	NA	1783943;6	1894
NC_005823.1	1785203	unaware	+	1785562;5	NA	NA	1785680;37	1785825;10	1895
NC_005823.1	1785780	LIC_RS07420	+	1786437;4	NA	NA	NA	NA	1896
NC_005823.1	1785844	LIC_RS07420	+	1786284;5	NA	NA	1786204;38	1786205;6	1897
NC_005823.1	1787137	unaware	+	NA	NA	NA	1787560;3	NA	1898
NC_005823.1	1787939	unaware	+	NA	NA	NA	1788263;2	NA	1899
NC_005823.1	1787985	unaware	+	1788166;29	1788174;3	NA	1788166;234	1788166;55	1900
NC_005823.1	1790248	unaware	+	NA	NA	NA	NA	1790692;3	1901
NC_005823.1	1790249	unaware	+	1790508;2	NA	NA	NA	NA	1901
NC_005823.1	1790250	unaware	+	NA	NA	NA	1790552;11	NA	1901
NC_005823.1	1790562	unaware	+	NA	NA	NA	1791048;45	1791048;8	1902
NC_005823.1	1790582	unaware	+	1791034;2	NA	NA	NA	NA	1903
NC_005823.1	1791545	LIC_RS07450	+	NA	NA	NA	1791802;21	NA	1904
NC_005823.1	1791551	LIC_RS07450	+	NA	NA	NA	NA	1792581;8	1904
NC_005823.1	1793950	unaware	+	NA	NA	NA	NA	1796653;11	1905
NC_005823.1	1795454	unaware	+	1795913;2	NA	NA	NA	NA	1906
NC_005823.1	1796011	unaware	+	NA	1796514;2	NA	NA	NA	1907
NC_005823.1	1796012	LIC_RS07460	+	1797198;19	NA	1796569;2	1796276;253	1796278;69	1907
NC_005823.1	1797505	LIC_RS07470	+	NA	NA	NA	NA	1797944;7	1908
NC_005823.1	1797511	LIC_RS07470	+	1798123;4	NA	NA	1798000;26	NA	1908
NC_005823.1	1798329	unaware	+	1798899;2	NA	NA	NA	NA	1909
NC_005823.1	1799618	unaware	+	NA	NA	NA	NA	1799816;2	1910
NC_005823.1	1800178	LIC_RS07475	+	NA	NA	NA	NA	1800660;2	1911
NC_005823.1	1800323	LIC_RS07475	+	NA	NA	NA	NA	1800615;1	1912
NC_005823.1	1800744	unaware	+	NA	NA	NA	1801364;4	NA	1913
NC_005823.1	1800768	unaware	+	NA	NA	NA	NA	1801791;2	1914
NC_005823.1	1801477	unaware	+	NA	NA	NA	1801783;4	1802204;4	1915
NC_005823.1	1802024	LIC_RS07480	+	1802564;5	NA	NA	1802461;57	1802542;14	1916
NC_005823.1	1803212	LIC_RS07490	+	1803901;1	NA	NA	NA	NA	1917
NC_005823.1	1803546	LIC_RS07490	+	1803774;1	NA	NA	NA	NA	1918
NC_005823.1	1803681	LIC_RS07490	+	1804373;1	NA	NA	NA	NA	1919
NC_005823.1	1803925	unaware	+	1804528;2	NA	NA	NA	NA	1920
NC_005823.1	1810601	unaware	+	NA	NA	NA	1811461;2	NA	1921
NC_005823.1	1813199	unaware	+	NA	NA	NA	1815130;8	NA	1922
NC_005823.1	1813315	LIC_RS07520	+	1814982;5	NA	NA	NA	NA	1923
NC_005823.1	1813321	LIC_RS07520	+	NA	NA	NA	NA	1815130;17	1923
NC_005823.1	1813322	LIC_RS07520	+	NA	NA	NA	1814031;52	NA	1923
NC_005823.1	1813327	unaware	+	NA	1814354;2	NA	NA	NA	1923
NC_005823.1	1814236	LIC_RS07525	+	1814980;3	NA	NA	NA	NA	1924
NC_005823.1	1815769	unaware	+	NA	NA	NA	NA	1815962;2	1925
NC_005823.1	1815830	unaware	+	1816703;3	NA	NA	NA	NA	1926
NC_005823.1	1816565	unaware	+	NA	NA	NA	1816850;3	NA	1927
NC_005823.1	1819108	unaware	+	1819381;2	NA	NA	NA	NA	1928
NC_005823.1	1819134	unaware	+	NA	NA	NA	NA	1819381;7	1929
NC_005823.1	1819136	unaware	+	NA	NA	NA	1819380;12	NA	1929
NC_005823.1	1820083	unaware	+	NA	NA	NA	1820506;3	NA	1930
NC_005823.1	1820883	unaware	+	NA	NA	NA	1821375;2	NA	1931
NC_005823.1	1820931	LIC_RS22980	+	1821112;18	1821120;2	NA	1821112;203	1821112;37	1932
NC_005823.1	1821697	unaware	+	NA	NA	NA	1823012;33	NA	1933
NC_005823.1	1821700	unaware	+	NA	NA	NA	NA	1822142;6	1933
NC_005823.1	1827019	unaware	+	NA	NA	NA	1827527;11	1827718;8	1934
NC_005823.1	1827310	unaware	+	1827619;2	NA	NA	NA	NA	1935
NC_005823.1	1827663	unaware	+	NA	NA	NA	NA	1828060;5	1936
NC_005823.1	1827738	LIC_RS07580	+	NA	NA	NA	NA	1828004;26	1937
NC_005823.1	1827740	LIC_RS07580	+	1828157;3	NA	NA	1828032;85	NA	1937
NC_005823.1	1828250	unaware	+	1828683;2	NA	NA	NA	NA	1938
NC_005823.1	1828522	LIC_RS07585	+	NA	NA	NA	NA	1829352;1	1939
NC_005823.1	1828993	LIC_RS07585	+	NA	NA	NA	NA	1829432;1	1940
NC_005823.1	1829135	LIC_RS07585	+	1829486;2	NA	NA	NA	NA	1941
NC_005823.1	1829546	LIC_RS07590	+	NA	NA	NA	NA	1830387;2	1942
NC_005823.1	1829744	unaware	+	1829948;2	NA	NA	NA	NA	1943
NC_005823.1	1833485	unaware	+	NA	NA	NA	NA	1834275;2	1944
NC_005823.1	1833668	LIC_RS07610	+	1835407;3	NA	NA	NA	1834413;18	1945
NC_005823.1	1833672	LIC_RS07610	+	NA	NA	NA	1834360;53	NA	1945
NC_005823.1	1833800	LIC_RS07615	+	1834685;1	NA	NA	NA	NA	1946
NC_005823.1	1835298	unaware	+	NA	NA	NA	NA	1835534;7	1947
NC_005823.1	1836354	unaware	+	NA	NA	NA	1836498;2	NA	1948
NC_005823.1	1838367	unaware	+	NA	NA	NA	1838969;51	NA	1949
NC_005823.1	1838368	unaware	+	1839167;5	NA	NA	NA	NA	1949
NC_005823.1	1838389	unaware	+	NA	NA	NA	NA	1839168;11	1950
NC_005823.1	1840775	unaware	+	NA	NA	NA	NA	1841163;2	1951
NC_005823.1	1841697	unaware	+	NA	NA	NA	1841892;2	NA	1952
NC_005823.1	1843765	unaware	+	NA	NA	NA	1844799;5	NA	1953
NC_005823.1	1843877	unaware	+	NA	NA	NA	1844188;16	1844234;2	1954
NC_005823.1	1844686	unaware	+	NA	NA	NA	NA	1845251;2	1955
NC_005823.1	1846632	unaware	+	1846807;9	NA	NA	NA	NA	1956
NC_005823.1	1846635	LIC_RS07675	+	NA	NA	NA	1846959;77	1847204;28	1956
NC_005823.1	1846795	LIC_RS07675	+	1847210;4	NA	NA	1847210;58	1847210;19	1957
NC_005823.1	1847369	unaware	+	1848080;6	NA	NA	NA	NA	1958
NC_005823.1	1850131	unaware	+	NA	1850880;2	NA	NA	1850776;55	1959
NC_005823.1	1850336	LIC_RS07680	+	1852111;17	1851604;4	1851127;2	1850776;690	1852243;76	1960
NC_005823.1	1853376	unaware	+	NA	NA	NA	1854322;5	NA	1961
NC_005823.1	1854384	unaware	+	NA	NA	NA	1854906;10	NA	1962
NC_005823.1	1854760	LIC_RS07705	+	NA	NA	NA	1855404;3	NA	1963
NC_005823.1	1855785	LIC_RS07710	+	NA	NA	NA	1856175;2	NA	1964
NC_005823.1	1855965	LIC_RS07710	+	NA	NA	NA	1857018;1	NA	1965
NC_005823.1	1857963	LIC_RS07720	+	NA	NA	NA	1858303;1	NA	1966
NC_005823.1	1858037	LIC_RS07720	+	NA	NA	NA	1858707;1	NA	1967
NC_005823.1	1858254	LIC_RS07720	+	NA	NA	NA	1858586;1	NA	1968
NC_005823.1	1859349	LIC_RS07725	+	NA	NA	NA	1859841;2	NA	1969
NC_005823.1	1859418	LIC_RS07725	+	NA	NA	NA	1860186;3	NA	1970
NC_005823.1	1861869	unaware	+	NA	NA	NA	1862410;3	1862237;3	1971
NC_005823.1	1862187	unaware	+	1862410;87	NA	NA	NA	NA	1972
NC_005823.1	1862188	unaware	+	NA	1862396;2	NA	1862410;266	1862410;60	1972
NC_005823.1	1864045	unaware	+	NA	NA	NA	1864502;4	NA	1973
NC_005823.1	1864187	unaware	+	NA	NA	NA	1864570;18	NA	1974
NC_005823.1	1864689	LIC_RS07735	+	NA	NA	NA	NA	1865146;1	1975
NC_005823.1	1864696	LIC_RS07735	+	NA	NA	NA	1865169;7	NA	1975
NC_005823.1	1864766	LIC_RS07735	+	NA	NA	NA	NA	1865107;2	1976
NC_005823.1	1865271	unaware	+	NA	NA	NA	1865700;16	NA	1977
NC_005823.1	1865272	unaware	+	NA	NA	NA	NA	1865700;9	1977
NC_005823.1	1865279	unaware	+	1865700;4	NA	NA	NA	NA	1977
NC_005823.1	1870683	LIC_RS07760	+	NA	NA	NA	1872187;5	NA	1978
NC_005823.1	1870720	LIC_RS07765	+	1872188;1	NA	NA	NA	NA	1979
NC_005823.1	1870727	LIC_RS07760	+	NA	NA	NA	1874424;8	NA	1979
NC_005823.1	1870811	LIC_RS07765	+	NA	NA	NA	NA	1871138;1	1980
NC_005823.1	1870978	LIC_RS07765	+	1871492;1	NA	NA	NA	NA	1981
NC_005823.1	1871050	LIC_RS07765	+	NA	NA	NA	NA	1872047;1	1982
NC_005823.1	1871188	unaware	+	NA	NA	NA	1871505;19	NA	1983
NC_005823.1	1873686	LIC_RS07770	+	1874159;5	NA	NA	NA	NA	1984
NC_005823.1	1873695	LIC_RS07770	+	NA	NA	NA	NA	1873890;12	1984
NC_005823.1	1873700	LIC_RS07770	+	NA	NA	NA	1873914;54	NA	1984
NC_005823.1	1874263	LIC_RS07775	+	1874756;8	NA	NA	NA	NA	1985
NC_005823.1	1874265	LIC_RS07775	+	NA	1874863;3	NA	NA	NA	1985
NC_005823.1	1874272	LIC_RS07775	+	NA	NA	1875050;2	NA	NA	1985
NC_005823.1	1874273	LIC_RS07775	+	NA	NA	NA	1874972;84	1875136;24	1985
NC_005823.1	1875135	LIC_RS07780	+	1876346;1	NA	NA	NA	NA	1986
NC_005823.1	1875744	LIC_RS07780	+	1876537;1	NA	NA	NA	NA	1987
NC_005823.1	1875874	LIC_RS07780	+	1876062;1	NA	NA	NA	NA	1988
NC_005823.1	1875904	LIC_RS07780	+	NA	NA	NA	1876175;27	1876770;8	1989
NC_005823.1	1877988	unaware	+	NA	NA	NA	NA	1878670;9	1990
NC_005823.1	1878075	unaware	+	1879021;2	NA	NA	NA	NA	1991
NC_005823.1	1878129	unaware	+	1879154;4	NA	NA	NA	NA	1992
NC_005823.1	1879307	unaware	+	NA	NA	NA	1879613;3	NA	1993
NC_005823.1	1880418	unaware	+	NA	NA	NA	1880775;2	NA	1994
NC_005823.1	1886167	unaware	+	NA	NA	NA	1886535;4	NA	1995
NC_005823.1	1890412	unaware	+	NA	NA	NA	1890573;3	NA	1996
NC_005823.1	1890647	unaware	+	NA	NA	NA	1890896;2	NA	1997
NC_005823.1	1891166	unaware	+	NA	NA	NA	NA	1891744;3	1998
NC_005823.1	1892600	unaware	+	NA	NA	NA	NA	1893030;2	1999
NC_005823.1	1893219	unaware	+	NA	NA	NA	1893654;2	NA	2000
NC_005823.1	1893489	unaware	+	NA	NA	NA	NA	1893650;2	2001
NC_005823.1	1893582	LIC_RS07850	+	1894639;9	1894645;14	1894646;5	1894641;163	1894641;42	2002
NC_005823.1	1894728	unaware	+	NA	NA	NA	1895050;6	NA	2003
NC_005823.1	1896104	LIC_RS07865	+	1896567;1	NA	NA	1896612;30	1896760;9	2004
NC_005823.1	1896219	LIC_RS07865	+	NA	NA	NA	NA	1897402;5	2005
NC_005823.1	1896224	LIC_RS07865	+	1896579;1	NA	NA	1896564;14	NA	2005
NC_005823.1	1898105	LIC_RS07875	+	NA	NA	NA	1898589;2	NA	2006
NC_005823.1	1900326	unaware	+	NA	NA	NA	1901460;3	NA	2007
NC_005823.1	1900356	LIC_RS07885	+	1901409;3	NA	NA	NA	NA	2008
NC_005823.1	1900358	LIC_RS07885	+	NA	NA	NA	1901763;13	1901408;4	2008
NC_005823.1	1900981	LIC_RS07890	+	NA	NA	NA	NA	1901855;3	2009
NC_005823.1	1902064	LIC_RS07895	+	NA	NA	NA	1903110;50	1902844;13	2010
NC_005823.1	1902373	unaware	+	1902778;3	NA	NA	NA	NA	2011
NC_005823.1	1903941	LIC_RS07905	+	NA	NA	NA	NA	1905415;3	2012
NC_005823.1	1904302	LIC_RS07905	+	1904801;1	NA	NA	NA	NA	2013
NC_005823.1	1904318	LIC_RS07905	+	1904800;1	NA	NA	NA	NA	2014
NC_005823.1	1906218	unaware	+	1906595;4	NA	NA	NA	NA	2015
NC_005823.1	1906219	LIC_RS07915	+	NA	NA	NA	1907469;78	NA	2015
NC_005823.1	1906221	LIC_RS07915	+	NA	NA	NA	NA	1907473;11	2015
NC_005823.1	1906339	LIC_RS07915	+	1906707;2	NA	NA	NA	NA	2016
NC_005823.1	1906525	LIC_RS07915	+	1906731;2	NA	NA	NA	NA	2017
NC_005823.1	1907026	LIC_RS07920	+	1907755;3	NA	NA	NA	NA	2018
NC_005823.1	1907105	LIC_RS07920	+	1907404;2	NA	NA	NA	NA	2019
NC_005823.1	1908383	LIC_RS07925	+	1908941;1	NA	NA	NA	NA	2020
NC_005823.1	1908605	LIC_RS07925	+	1908722;1	NA	NA	NA	NA	2021
NC_005823.1	1909381	LIC_RS07930	+	NA	NA	NA	NA	1910143;3	2022
NC_005823.1	1911650	LIC_RS07940	+	1912115;2	NA	NA	NA	NA	2023
NC_005823.1	1911653	LIC_RS07940	+	NA	NA	NA	1912114;30	1913039;7	2023
NC_005823.1	1913353	LIC_RS07950	+	1914059;1	NA	NA	NA	NA	2024
NC_005823.1	1913551	LIC_RS07950	+	1913930;1	NA	NA	NA	NA	2025
NC_005823.1	1913659	LIC_RS07950	+	1913899;1	NA	NA	NA	NA	2026
NC_005823.1	1915211	LIC_RS07955	+	1916141;1	NA	NA	NA	NA	2027
NC_005823.1	1915766	unaware	+	NA	NA	NA	NA	1916158;2	2028
NC_005823.1	1915796	LIC_RS07955	+	NA	NA	NA	1916757;6	1916481;4	2029
NC_005823.1	1915842	LIC_RS07955	+	1916158;1	NA	NA	NA	NA	2030
NC_005823.1	1916796	LIC_RS07960	+	1917461;10	NA	NA	1917548;129	1917131;35	2031
NC_005823.1	1917712	LIC_RS07965	+	NA	NA	NA	NA	1918099;6	2032
NC_005823.1	1918114	unaware	+	NA	NA	NA	1918625;56	1918735;14	2033
NC_005823.1	1918260	unaware	+	1918578;7	NA	NA	NA	NA	2034
NC_005823.1	1919250	LIC_RS07970	+	NA	1919443;2	NA	NA	NA	2035
NC_005823.1	1919251	LIC_RS07970	+	1919461;37	NA	NA	1919870;140	1919870;24	2035
NC_005823.1	1919331	LIC_RS07975	+	NA	1920179;1	NA	NA	NA	2036
NC_005823.1	1919453	LIC_RS07975	+	1919873;5	1919750;1	NA	NA	NA	2037
NC_005823.1	1919515	LIC_RS07975	+	NA	1919701;1	NA	NA	NA	2038
NC_005823.1	1919724	LIC_RS07980	+	1919870;5	NA	NA	NA	NA	2039
NC_005823.1	1920437	unaware	+	1920650;3	NA	NA	NA	NA	2040
NC_005823.1	1920728	LIC_RS07990	+	NA	1921131;1	NA	NA	NA	2041
NC_005823.1	1920729	LIC_RS07990	+	1921501;28	NA	NA	1921506;573	1921506;156	2041
NC_005823.1	1920835	LIC_RS07990	+	NA	1921451;1	NA	NA	NA	2042
NC_005823.1	1920901	LIC_RS07990	+	NA	NA	1921469;1	NA	NA	2043
NC_005823.1	1920912	LIC_RS07990	+	NA	1921451;1	NA	NA	NA	2044
NC_005823.1	1920923	LIC_RS07990	+	NA	NA	1921494;1	NA	NA	2045
NC_005823.1	1921217	LIC_RS07995	+	NA	NA	NA	1921506;796	NA	2046
NC_005823.1	1922045	LIC_RS08000	+	NA	NA	NA	1923322;38	NA	2047
NC_005823.1	1922092	LIC_RS08000	+	1922815;2	NA	NA	NA	NA	2048
